yyyy;Index;D12;E12;b/m;tbl;AAA;BAA;lty;cay;ntis;Rfree;infl;eqis;ltr;corpr;svar;csp;ik;CRSP_SPvw;CRSP_SPvwx
1871;4,74;0,260;0,400;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0588574268;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1872;5,07;0,300;0,430;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0743055319;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1873;4,42;0,330;0,460;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0901081474;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1874;4,54;0,330;0,460;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0496381188;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1875;4,37;0,300;0,360;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0446978631;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1876;3,58;0,300;0,280;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0418461287;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1877;3,25;0,190;0,300;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0422555149;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1878;3,45;0,180;0,310;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0388192140;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1879;4,92;0,200;0,380;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0411661222;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1880;5,84;0,260;0,490;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0426893338;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1881;6,01;0,320;0,440;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0424253343;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1882;5,84;0,320;0,430;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0465136528;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1883;5,34;0,330;0,400;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0463547519;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1884;4,34;0,310;0,310;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0424753479;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1885;5,20;0,240;0,270;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0320528327;NaN;NaN;NaN;NaN;0,0237389033;NaN;NaN;NaN;NaN
1886;5,64;0,220;0,330;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0384286200;NaN;NaN;NaN;NaN;0,0164586021;NaN;NaN;NaN;NaN
