yyyymm;Index;D12;E12;b/m;tbl;AAA;BAA;lty;ntis;Rfree;infl;ltr;corpr;svar;csp;CRSP_SPvw;CRSP_SPvwx
187101;4,44;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0049551245;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187102;4,50;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0045144576;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187103;4,61;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187104;4,74;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0046319878;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187105;4,86;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187106;4,82;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0033678142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187107;4,73;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0032501353;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187108;4,79;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0037060637;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187109;4,84;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0045438415;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187110;4,59;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0070163340;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187111;4,64;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0064666046;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187112;4,74;0,2600;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0069503824;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187201;4,86;0,2633;0,4025;NaN;NaN;NaN;NaN;NaN;NaN;0,0057478359;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187202;4,88;0,2667;0,4050;NaN;NaN;NaN;NaN;NaN;NaN;0,0052047496;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187203;5,04;0,2700;0,4075;NaN;NaN;NaN;NaN;NaN;NaN;0,0059825927;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187204;5,18;0,2733;0,4100;NaN;NaN;NaN;NaN;NaN;NaN;0,0060119334;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187205;5,18;0,2767;0,4125;NaN;NaN;NaN;NaN;NaN;NaN;0,0049404388;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187206;5,13;0,2800;0,4150;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187207;5,10;0,2833;0,4175;NaN;NaN;NaN;NaN;NaN;NaN;0,0043895667;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187208;5,04;0,2867;0,4200;NaN;NaN;NaN;NaN;NaN;NaN;0,0052047496;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187209;4,95;0,2900;0,4225;NaN;NaN;NaN;NaN;NaN;NaN;0,0069943506;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187210;4,97;0,2933;0,4250;NaN;NaN;NaN;NaN;NaN;NaN;0,0075804085;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187211;4,95;0,2967;0,4275;NaN;NaN;NaN;NaN;NaN;NaN;0,0081807617;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187212;5,07;0,3000;0,4300;NaN;NaN;NaN;NaN;NaN;NaN;0,0076023790;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187301;5,11;0,3025;0,4325;NaN;NaN;NaN;NaN;NaN;NaN;0,0064666046;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187302;5,15;0,3050;0,4350;NaN;NaN;NaN;NaN;NaN;NaN;0,0065399193;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187303;5,11;0,3075;0,4375;NaN;NaN;NaN;NaN;NaN;NaN;0,0070822812;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187304;5,04;0,3100;0,4400;NaN;NaN;NaN;NaN;NaN;NaN;0,0080197267;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187305;5,05;0,3125;0,4425;NaN;NaN;NaN;NaN;NaN;NaN;0,0056157609;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187306;4,98;0,3150;0,4450;NaN;NaN;NaN;NaN;NaN;NaN;0,0046687131;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187307;4,97;0,3175;0,4475;NaN;NaN;NaN;NaN;NaN;NaN;0,0043822197;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187308;4,97;0,3200;0,4500;NaN;NaN;NaN;NaN;NaN;NaN;0,0048376323;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187309;4,59;0,3225;0,4525;NaN;NaN;NaN;NaN;NaN;NaN;0,0101257716;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187310;4,19;0,3250;0,4550;NaN;NaN;NaN;NaN;NaN;NaN;0,0117461593;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187311;4,04;0,3275;0,4575;NaN;NaN;NaN;NaN;NaN;NaN;0,0102864678;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187312;4,42;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0068477824;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187401;4,66;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0051166537;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187402;4,80;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187403;4,73;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0041617843;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187404;4,60;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187405;4,48;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0038089865;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187406;4,46;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0037354713;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187407;4,46;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0037722296;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187408;4,47;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0036472459;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187409;4,54;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187410;4,53;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0039192492;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187411;4,57;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0037795811;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187412;4,54;0,3300;0,4600;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187501;4,54;0,3275;0,4517;NaN;NaN;NaN;NaN;NaN;NaN;0,0035075398;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187502;4,53;0,3250;0,4433;NaN;NaN;NaN;NaN;NaN;NaN;0,0034634180;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187503;4,59;0,3225;0,4350;NaN;NaN;NaN;NaN;NaN;NaN;0,0039854009;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187504;4,65;0,3200;0,4267;NaN;NaN;NaN;NaN;NaN;NaN;0,0036472459;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187505;4,47;0,3175;0,4183;NaN;NaN;NaN;NaN;NaN;NaN;0,0030000218;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187506;4,38;0,3150;0,4100;NaN;NaN;NaN;NaN;NaN;NaN;0,0029926646;NaN;NaN;NaN;NaN;NaN;NaN;NaN
